Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
42,16415399,"Chang Liu","2026-08-09 00:02:40",96.290,11,tensorliu
43,16378560,Haraguchi-T,"2026-08-10 02:14:09",95.650,10,haraguchit
44,16554927,amy00700yma,"2026-08-09 16:08:59",95.560,14,"amy00700yma,epiphyllum02,h1nkik,infiheart,returnxi"
45,16495700,花无想_,"2026-08-09 00:51:41",95.220,15,flowernothought
46,16420265,"Ya Xu","2026-08-09 03:58:06",95.220,11,ataraxian
47,16592314,ZhangZhen257,"2026-08-09 08:36:59",95.165,10,"luonmayman,zhangzhen257"
48,16613631,"Bala Baskar","2026-08-09 07:29:00",94.645,2,balabaskar
49,16495103,hotton,"2026-08-09 21:37:23",94.320,12,hotton
50,16378101,"Saicharan Ramineni","2026-08-09 04:41:06",94.185,15,godlydonuts
51,16327886,mins0_0,"2026-08-09 08:48:44",94.185,10,mins00
52,16385632,"Jerry Park","2026-08-09 18:06:24",94.160,9,mecome
53,16446913,bob,"2026-08-09 18:50:08",94.055,13,"alexandraiourenkova,igorpolubaryev,untouchableforest"
54,16609944,muchun,"2026-08-09 15:43:47",94.050,10,muchunnian
55,16320180,Eltormtace,"2026-08-08 01:13:43",93.570,10,eltormtace
56,16414896,"Nayananshu Garai","2026-08-09 15:33:53",93.445,10,ngarai
57,16572768,CaminoLSY,"2026-08-09 20:40:40",93.375,4,lsy37521
58,16500432,"Syed Asad Ali","2026-08-09 07:43:57",93.195,5,syed3000
59,16319904,"Kevin Arvai","2026-08-09 23:07:23",93.195,10,kevinarvai
60,16401124,1x,"2026-08-10 00:01:29",93.185,10,rian55
61,16508613,pompom555,"2026-08-09 16:18:38",93.165,10,pompom555
62,16334355,"Ab Es","2026-08-09 12:09:27",92.970,11,seb001010
63,16579629,hoongzm,"2026-08-09 03:48:55",92.880,14,"hoongzm,michealcorleone,yonglixiang"
64,16456389,"xiang W","2026-08-09 05:22:11",92.675,10,xiangwaaaaa
65,16603457,"extra eclaire","2026-08-08 06:31:20",92.670,2,extraeclaire
66,16658664,mrmldjr,"2026-08-09 18:50:53",92.445,15,mrmldjr
67,16557804,Bình,"2026-08-09 02:29:00",92.340,13,binhdth
68,16423362,linzp721,"2026-08-08 17:41:20",92.250,10,linzp721
69,16414354,"Ishaan Pandey","2026-08-08 19:50:54",92.250,5,snipergotyou
70,16515469,안녕하세요이세입니다잘부탁드립니다,"2026-08-09 12:42:48",92.250,15,municef1
71,16384626,"Yuriy Mikityuk","2026-08-09 10:43:58",92.205,6,yuriymikityuk
72,16368843,"Hira Norm","2026-08-09 17:14:33",92.185,15,hiranorm
73,16361902,"Ramesh Arvind","2026-08-09 16:25:53",92.110,7,rameshln
74,16451651,rfbr,"2026-08-09 18:25:08",92.070,3,romainfabre
75,16419755,uzair,"2026-08-09 20:35:44",91.980,9,quantumcurator
76,16641194,"Tejas Gupta me24b173","2026-08-09 10:08:24",91.935,10,tejasguptame24b173
77,16601555,Gronk,"2026-08-09 16:08:44",91.855,12,jianyicai
78,16319055,暗黑AGI,"2026-08-09 01:38:50",91.845,13,"boristown,dongliangchenhydra,fjzhangdd,labmemtang,siao112"
79,16600354,junta1104,"2026-08-09 12:04:27",91.770,13,junta1104
80,16321108,Ko,"2026-08-09 00:33:14",91.755,5,komurase
81,16428097,doge,"2026-08-10 00:01:28",91.595,17,lordshibe
82,16535074,no_wonderr,"2026-08-09 06:20:21",91.545,14,"alexandrasung,nowonderr"
83,16359105,"Akira Imae","2026-08-09 04:48:41",91.215,4,imaeakira
84,16644701,kimsunki_12,"2026-08-09 13:07:38",91.215,7,kimsunki12
85,16386620,"zhangqian zhang","2026-08-09 01:00:06",91.210,15,zhangqianzhang
86,16515973,SireeshLimbu,"2026-08-09 09:50:59",91.170,15,sireesh
87,16325790,"Murat Kolic","2026-08-07 08:46:05",91.020,5,muratkolic
88,16434139,"Dylon Tsai","2026-08-10 00:21:47",91.000,10,"daifanhao,dylonwilliam"
89,16375520,Kirderf,"2026-08-09 21:39:49",90.990,9,kirderf
90,16362176,"ömer kiraz","2026-08-09 19:48:28",90.990,8,merkiraz
91,16588501,ISAQ233,"2026-08-09 16:08:26",90.980,5,isaq233
92,16357285,Munshi-PremChand,"2026-08-10 00:51:08",90.880,6,munshipremchand
93,16534564,Cyrus,"2026-08-09 10:12:57",90.855,15,jamalsaeedi
94,16320229,HydraZ,"2026-08-09 13:05:58",90.810,15,zhangyanghao
95,16645141,Goat,"2026-08-09 13:30:11",90.805,3,"benexpert,huangzhengyong1,jessewudao,jiahaozhang12345,monsieurdeandalusia"
96,16563886,K_ChanHo,"2026-08-09 14:12:52",90.800,15,kchanho
97,16592117,MioValentine,"2026-08-09 03:39:06",90.720,13,yuyizhu
98,16316612,PavelLiashkov,"2026-08-09 03:35:52",90.675,10,bigbag1983
99,16421423,"Changdao Chen","2026-08-09 05:01:27",90.675,11,ccdepsilon
100,16545014,"zzx Hee","2026-08-09 03:19:26",90.675,15,zzxhee
101,16492568,"Chaoyan Chen","2026-08-09 14:52:28",90.650,10,chaoyanchen
102,16658609,"Siddh Rathod","2026-08-08 21:13:47",90.640,5,siddhrathod007
103,16499911,Pardival,"2026-08-09 09:40:26",90.620,7,pardival
104,16445294,DNCWON,"2026-08-09 11:25:31",90.600,15,dncwon
105,16306582,"Nadeem Ishikawa","2026-08-09 18:04:01",90.585,7,nadeemishikawa
106,16605050,"Nkosi Ndwandwe","2026-08-08 20:58:25",90.540,2,nkosindwandwe
107,16533265,"Anvith Pothula","2026-08-09 16:39:18",90.540,7,anvithpothula
108,16455262,"William Polanco","2026-08-09 18:14:06",90.540,4,williampolanco
109,16588714,AM,"2026-08-09 15:54:57",90.495,1,cassinicraft
110,16368519,carbonapi,"2026-08-09 21:52:27",90.450,5,nonempty
111,16368961,Sera,"2026-08-09 00:25:53",90.360,10,sserada
112,16351402,Juyong,"2026-08-10 01:59:48",90.360,11,kimdoong
113,16318333,Ayodeji,"2026-08-09 01:00:50",90.285,15,ayodejiibrahimlateef
114,16327420,hertz,"2026-08-09 06:25:30",90.270,2,nori117
115,16307814,"Peng Wang","2026-08-10 00:01:05",90.270,20,pengwang91
116,16602348,zyvren,"2026-08-09 16:10:07",90.250,13,sharif485
117,16320374,SGY2512,"2026-08-09 08:20:06",90.225,7,sgy2512
118,16347902,星之海,"2026-08-09 12:10:38",90.225,5,web3cainiao
119,16345833,"agent ko momos khilaenge","2026-08-09 10:26:46",90.225,7,"adityaraghuvanshi999,adityaravi2,aikyatansinha,vamshikrishnaemmadi,yash9439"
120,16441483,Kinosuke,"2026-08-09 05:56:29",90.180,15,chiman3se
121,16321219,yw8837,"2026-08-09 11:37:07",90.180,5,yw8837
122,16480846,"Zhihao Chen","2026-08-09 16:53:43",90.135,10,zhihao125
123,16394826,untitled,"2026-08-09 07:21:39",90.135,8,reg0x00
124,16411035,RingRing,"2026-08-09 03:29:34",90.125,10,kuriririn
125,16380216,galatea,"2026-08-09 21:20:06",90.045,12,ark911
126,16566242,hexisteme,"2026-08-09 09:18:38",90.045,10,hexisteme
127,16400035,"Roland Luethy","2026-08-09 15:28:28",90.045,7,rluethy
128,16689116,"Mahabub Alahi Atik","2026-08-09 22:41:15",90.045,5,mahabualahiatik
129,16533943,"SWAPNIL CHAUDHARI","2026-08-08 16:30:32",90.000,2,swapnil1967
130,16413277,Beroggama,"2026-08-09 12:39:58",89.955,15,"andriymysko,bielescolarodrigo,omarrgg"
131,16353257,"xinran liu","2026-08-07 09:03:16",89.910,2,xinranliu310
132,16325842,LEEKANG,"2026-08-09 00:08:18",89.910,2,poby7722
133,16464118,"Brian Taylor","2026-08-09 20:18:20",89.900,1,brianwtaylor
134,16584453,"Quốc Vă","2026-08-09 05:32:42",89.880,15,qucvovo
135,16624642,CTRL+ALT+DEFEAT,"2026-08-09 00:05:31",89.865,12,"dinmukhamedumbetzhan,sardorrazikov"
136,16493915,yemaoye,"2026-08-08 05:18:55",89.865,4,yemaoye
137,16323406,cocoaAI,"2026-08-10 00:57:21",89.865,7,cocoaai
138,16308282,kwang,"2026-08-09 16:07:06",89.820,15,gmhost
139,16546697,"Shankha Suvro Mullick","2026-08-09 15:41:55",89.820,5,shankhasuvromullick
140,16593347,WhizXaZY,"2026-08-09 10:37:37",89.730,10,"fanhuanice,kevinwang0305,stevenwww111,yefeiwang1,zhangyufan1103"
141,16322450,"Bandaru Lokesh","2026-08-09 04:15:39",89.725,11,lbandaru
142,16569976,Kifine,"2026-08-09 07:27:13",89.670,10,liaoyingxi
143,16369147,Mandel,"2026-08-07 13:08:24",89.640,2,mandelxu
144,16323740,"Sahil Sharma","2026-08-09 17:01:17",89.640,3,"sahilsharma099,vvgaditya8123"
145,16436722,aobayamonokuma,"2026-08-09 17:09:46",89.595,12,lingyujiang
146,16321858,panda__MB__maximus,"2026-08-09 13:08:15",89.550,5,tanishmohokar09
147,16309838,"Zhao Liying","2026-08-10 01:34:24",89.550,11,yeohzhonghanervin
148,16313145,"Tagir Analyzes","2026-08-08 17:54:03",89.550,1,tagirkhairutdinov
149,16309929,"Jiachen Li","2026-08-09 05:21:58",89.460,3,llccqq624
150,16418464,"อธิคม หวังเจริญวงศ์","2026-08-09 14:56:46",89.450,6,"newwang12,yanisakatwattha"
151,16647392,GG-bond,"2026-08-09 06:31:14",89.415,8,wyhwyh123
152,16313725,Naveen,"2026-08-09 18:22:45",89.380,10,"naveenlx111249971939,sairaammbharadwaj,shoaibssm,vishruthvayurodda"
153,16441057,chudddc,"2026-08-09 02:59:23",89.375,5,chudddc
154,16593525,"forever young","2026-08-09 09:29:12",89.370,15,keisukeyokota0428
155,16326253,"Team BlackBox and AIRIS","2026-08-09 12:34:01",89.370,14,"koushikrudra,uradkr,yuanzhezhou"
156,16548322,tubi,"2026-08-07 21:36:39",89.355,5,tubita
157,16373477,"Assia Benkedia","2026-08-09 12:46:21",89.335,12,assiaben
158,16431423,"Need teammates plz","2026-08-09 02:13:11",89.325,10,znwe342
159,16373602,Determiners,"2026-08-09 10:46:22",89.325,3,"mdriyaz29,mohamedkifayathulla"
160,16660354,Pinluk,"2026-08-09 11:53:46",89.325,4,pinluk
161,16577037,"Madiyar Khamzanov","2026-08-09 00:07:56",89.280,7,mkhamzanov
162,16540787,"Yogesh Mishra","2026-08-09 14:48:45",89.265,1,yogeshm01
163,16565907,renta.k,"2026-08-09 01:22:19",89.235,15,renta0426
164,16591255,"yixuan w","2026-08-09 00:35:03",89.235,15,financialtech
165,16395864,"Vivaan Satija","2026-08-08 15:57:00",89.190,5,vivaansatija
166,16338820,"ありま こうせい","2026-08-09 02:50:38",89.190,2,"guriken,miraclehat,theunforgiven7"
167,16318757,"Everything Is CTF","2026-08-09 21:41:11",89.175,7,"matseoizau,yixuliu"
168,16304768,"Ivan Aleksandrov","2026-08-09 17:01:08",89.145,15,ivanblch
169,16493020,"sumang nalla","2026-08-09 03:49:43",89.145,5,sumangnalla
170,16315537,"Nam DANO Больше","2026-08-09 09:26:48",89.145,15,"johnjanson,romantamrazov"
171,16372330,today,"2026-08-09 13:02:31",89.145,11,today55
172,16670326,我脑子不太好,"2026-08-09 20:44:44",89.100,7,demacia1314
173,16675683,LsyyyyYu,"2026-08-09 02:39:09",89.100,6,lsyyyyyu
174,16494777,zekenoe,"2026-08-09 01:55:36",89.100,10,zekenos
175,16462711,BrandNewYork,"2026-08-09 02:16:55",89.100,3,brandnewyork
176,16612067,"Attacker #2","2026-08-09 00:16:05",89.055,10,aleaiest
177,16580248,"WOOSUNG YOON","2026-08-08 08:30:55",89.055,2,woosungyoon
178,16488594,aisamhottman,"2026-08-09 15:17:58",89.030,11,heuingttiang
179,16638865,jidaoluckey,"2026-08-08 08:14:00",89.010,1,jidaoluckey
180,16316420,cfs123,"2026-08-09 02:39:01",89.010,7,cfs123
181,16316549,"Jeki Wan Taufik","2026-08-09 05:08:09",89.010,3,jek1wantaufik
182,16689827,rikutokuwayama,"2026-08-09 08:09:08",89.010,10,rikutokuwayama
183,16324240,colt,"2026-08-09 03:10:51",89.010,1,xiaomaguo
184,16442073,"Digital Abhi","2026-08-09 14:17:27",89.010,10,abhidatta87
185,16633604,C19,"2026-08-09 16:27:03",88.980,14,anoseg
186,16601577,oakzen,"2026-08-09 07:52:40",88.965,15,gyx517120273
187,16316188,"vijay Mariappan","2026-08-08 05:36:54",88.920,6,vijay75
188,16662158,huss10,"2026-08-07 18:29:02",88.920,4,hussamuddinsyed
189,16419771,Merlion_SG,"2026-08-09 12:59:29",88.905,15,hugeland
190,16420522,"Dhruv Bansal","2026-08-08 08:44:37",88.875,2,dhruvb2028
191,16559919,"Sergey Shcherbakov","2026-08-09 16:50:16",88.875,15,sergey140146659
192,16443495,失忆的海_,"2026-08-09 03:50:24",88.875,15,shiyidehai
193,16368503,Leon,"2026-08-09 00:11:02",88.830,5,leonshangguan
194,16436721,STF,"2026-08-09 00:55:54",88.830,5,"demonbill,heranlang666,shaotongyu001"
195,16437487,"Yanshu Patel","2026-08-09 06:05:44",88.785,1,yanshupatel
196,16657710,sadanamaru,"2026-08-10 00:05:56",88.770,16,sadanamaru
197,16358613,zongzishuang,"2026-08-09 13:35:47",88.760,15,"aurax7,coolinlai,davidsarrat,sultent,zongzishuang"
198,16486723,"Akhilesh godugu","2026-08-09 03:42:18",88.740,3,akhileshgodugu
199,16318830,"Heads or Tails","2026-08-08 05:12:25",88.695,10,headsortails
200,16370189,da_pond,"2026-08-08 07:27:28",88.695,2,dapond
201,16537984,SAFSAGF,"2026-08-08 08:18:35",88.650,4,safsagf
202,16608061,Milkomeda,"2026-08-07 16:17:32",88.650,3,milkomeda74583
203,16566365,Theo,"2026-08-08 02:01:50",88.650,6,theokp
204,16537918,Moon,"2026-08-08 15:41:03",88.650,6,"capybaralvu,eyeing1"
205,16674947,JiayuanSu,"2026-08-09 14:52:33",88.650,9,yoannjys
206,16688503,yuto083,"2026-08-09 22:19:48",88.650,8,yuto0712
207,16602381,"Navid Nur","2026-08-07 17:22:28",88.605,5,navidnur
208,16565564,luckytry,"2026-08-09 14:03:10",88.605,4,wuyuting2
209,16485174,ZengshuaiZhang,"2026-08-09 05:20:53",88.605,10,zengshuaizhang
210,16580862,Sian,"2026-08-09 15:51:47",88.605,15,arki13
211,16424733,"Shangshang Zhang","2026-08-09 00:02:29",88.605,1,msvzss
212,16682095,xianZ_waikato,"2026-08-09 18:44:10",88.560,5,xianzwaikato
213,16556002,"Sumitro Palit","2026-08-09 17:06:17",88.560,6,ortimusprime
214,16417394,"Hao Boyuan","2026-08-09 02:06:30",88.515,4,kennethhao8
215,16440245,supr3mum,"2026-08-08 23:31:19",88.510,5,friklez
216,16555961,"YueZheng Zhang","2026-08-08 13:48:38",88.470,9,yuezhengzhang
217,16587218,"Fidel Escalona","2026-08-08 23:58:49",88.470,9,fbescalo
218,16678455,renji_starfall,"2026-08-09 21:11:19",88.470,5,degnonguidi
219,16426570,"Factual Explorer","2026-08-09 11:32:50",88.470,4,factualexplorer
220,16485982,Gena,"2026-08-09 12:32:22",88.470,2,gdonchyts
221,16643604,Ogurtsov,"2026-08-09 13:43:16",88.470,13,ogurtsov
222,16675633,"Leasy Yu","2026-08-09 06:54:56",88.460,6,leasyyu
223,16581982,永不复焉,"2026-08-09 13:01:30",88.430,3,legeia
224,16305293,"Emre Cirak","2026-08-09 18:40:47",88.425,4,biohack44
225,16425367,dhyuk54,"2026-08-09 12:16:43",88.425,3,dhyuk54
226,16555379,waticson,"2026-08-07 13:30:08",88.425,1,yutodennou
227,16424092,"Gianni Cerrato","2026-08-07 06:59:37",88.410,1,giannicerrato
228,16675923,"Aizat Kashapov","2026-08-09 11:39:56",88.380,13,liderpartiii
229,16321280,cutefish,"2026-08-09 13:51:54",88.380,5,largefish
230,16406859,"Yuan Yongth","2026-08-10 01:43:31",88.335,18,yuanyongth
231,16446388,"Araik Tamazian","2026-08-08 17:18:42",88.335,1,atamazian
232,16643669,HarijsPoters,"2026-08-09 06:27:30",88.335,14,harijspoters
233,16318845,"Sinan Calisir","2026-08-09 22:47:33",88.335,5,"aerospacer,br33z3,snnclsr"
234,16339567,loveispoison,"2026-08-09 03:13:12",88.295,13,loveispoison
235,16563504,"Vamsi Krishna Bonam","2026-08-09 14:55:38",88.290,10,vkribr
236,16617161,穐山太一,"2026-08-09 11:49:07",88.290,2,akkey12
237,16538546,"Fengrui liu","2026-08-09 08:30:05",88.245,15,"fengruiliu419,ruiyanghuang"
238,16444812,Shinichi,"2026-08-08 19:24:39",88.245,6,truepoint1200612
239,16586614,GoodMeatDay,"2026-08-09 08:03:13",88.245,8,"goodmeatday,reopon"
240,16673610,HongchenDai,"2026-08-08 09:22:55",88.245,5,hongchendai
241,16595346,"Ouided bk","2026-08-08 12:50:12",88.245,2,ouidedbk
242,16398803,S.Aoki,"2026-08-09 04:35:46",88.245,3,soyaoki
243,16432602,"KAIWALYA RAUT","2026-08-09 09:05:56",88.245,1,kaiwalyaatulraut
244,16688173,Mathemortician,"2026-08-08 22:31:05",88.200,5,mathemortician
245,16543965,banybb,"2026-08-08 04:37:40",88.200,5,banybb
246,16334754,"Deva Dharshini006","2026-08-09 12:38:57",88.165,5,"deivaprasath,devadharshini006"
247,16677783,"Vignesh A","2026-08-09 16:59:58",88.155,3,vignesha1
248,16375825,"Aravinth Krishnan Ravi","2026-08-09 09:50:16",88.155,12,aravinthkrishnanravi
249,16307615,Rick,"2026-08-09 13:23:30",88.155,5,rikitomo0526
250,16566108,"Steve Roberts","2026-08-07 10:45:08",88.125,2,steveroberts
251,16370759,Handudu,"2026-08-09 03:54:59",88.110,2,handudu
252,16619064,"T.-C. Chang","2026-08-10 00:07:53",88.110,4,newlooker
253,16692302,"Mirza Ali Akbar","2026-08-09 13:28:09",88.070,4,mirzaaliakbar
254,16441272,"Dmitry Belan","2026-08-09 11:33:42",88.065,3,dimong4
255,16499375,"Daewoo Myoung","2026-08-09 00:10:44",88.065,10,ttagu99
256,16632106,Sunning1234457,"2026-08-09 00:24:36",88.065,4,sunny123444
257,16318361,"Breno & Sebastian","2026-08-09 01:53:15",88.030,10,"brenorb,sebastianmateus"
258,16308368,"Nguyễn Công Tuấn","2026-08-09 16:58:23",88.020,11,nctuan
259,16533445,Ikeda0516,"2026-08-08 10:54:27",88.020,8,ikeda0516
260,16332160,"Kim Jinseo","2026-08-08 01:44:50",88.020,1,kimjinseo1
261,16324270,"Code by Nadiia","2026-08-09 11:22:05",88.020,2,codebynadiia
262,16315328,A.T.,"2026-08-09 04:35:58",88.020,10,t6ccc2
263,16305978,龙与少年游,"2026-08-10 07:02:45",88.020,10,"duoliya,linyeping,sereinovov,wangying2026"
264,16322640,"Surya milenial","2026-08-09 15:01:56",88.020,14,suryamilenial
265,16664589,Carl9167,"2026-08-09 15:15:34",88.020,2,"carl9167,chengxugu,evelynwhite1727,yxkagglegle"
266,16668016,Yusuraume,"2026-08-09 14:37:04",88.020,15,sugitatomohiko
267,16667457,ahihihi,"2026-08-09 06:05:15",88.005,9,adibfairuza
268,16310264,deepseek国产之光,"2026-08-09 07:49:38",87.975,5,"chinanb002,weijiemiao"
269,16314975,ll,"2026-08-09 19:42:20",87.975,7,sergeevii123
270,16314822,CuteClaw,"2026-08-09 22:08:44",87.975,11,bloodmoonwq
271,16346471,infamemconculcemus,"2026-08-09 14:28:12",87.975,5,jcgweb
272,16517965,zama,"2026-08-08 09:06:17",87.975,5,zamami
273,16501673,"Ifeoluwa Adewumi","2026-08-09 03:43:10",87.975,1,ifeadewumi
274,16591735,"yajuan sheng","2026-08-09 06:15:49",87.935,15,yajuansheng
275,16601854,Yaroslav,"2026-08-09 19:52:50",87.930,13,yaroslavrogoza
276,16409812,"Suvidh Jain","2026-08-08 06:27:45",87.930,9,suvidhjain23bce2137
277,16616841,JinchengZhang1,"2026-08-09 01:47:52",87.930,10,jinchengzhang1
278,16425513,"Hajime Tamura","2026-08-08 10:09:31",87.930,1,thajime
279,16689293,"Suman Sahoo","2026-08-09 06:02:36",87.930,6,sumansahoo16
280,16314626,"Knight of Favonius","2026-08-08 12:37:31",87.930,2,ladyfaye
281,16639954,"Yaofei Li","2026-08-09 14:36:55",87.930,2,fengjiuge123
282,16584111,"Bhargavaram Gajula","2026-08-08 19:11:28",87.885,1,bhargavaramgajula007
283,16692839,"Rohit Rawat","2026-08-08 20:42:28",87.885,2,rrrohit
284,16664139,Kai,"2026-08-09 15:14:01",87.885,2,"faith853,kaizhao1,simonwang9,yggdrasummer"
285,16685858,Ztr0,"2026-08-08 14:02:52",87.840,2,y1amadeus
286,16578306,Tong_0220,"2026-08-09 03:26:36",87.840,10,tong0220
287,16694326,"DaoHe Liu","2026-08-09 13:33:19",87.840,4,daoheliu
288,16316410,"Ashad Alam","2026-08-08 18:10:55",87.815,3,ashad8949
289,16664767,"Cholaraja R P","2026-08-09 04:17:53",87.815,10,cholarajarp
290,16561462,ATTACK$,"2026-08-09 04:32:30",87.805,19,"dorainren,kevlarzanderchi,mikelou1,yichengs,yongxinkwan"
291,16676654,"Takauchi Suguru","2026-08-08 06:12:22",87.795,2,gurusut
292,16384595,Suuuiiii4,"2026-08-09 20:55:34",87.795,7,bharath111l
293,16311574,旧楚狂人,"2026-08-08 15:45:57",87.795,5,jiuchukuangren
294,16453556,Mehrdad_LU,"2026-08-09 06:05:15",87.780,8,mehrdadal2023
295,16662529,"Poornima kollamsetty","2026-08-07 11:21:58",87.750,2,poornimakollamsetty
296,16318942,rkd,"2026-08-08 09:57:29",87.750,3,ryookd
297,16316391,"AI agents need security","2026-08-09 14:18:23",87.750,10,"aadigupta1601,nabidnur"
298,16314090,Hironobukawaguchi,"2026-08-09 22:32:27",87.750,11,hironobukawaguchi
299,16561595,TrinhDung16,"2026-08-09 09:07:36",87.750,10,trinhdung16
300,16305683,"Mr RRR","2026-08-09 16:58:00",87.750,9,larrylin666
301,16604186,jajojo,"2026-08-09 17:07:23",87.750,4,jajojo
302,16351237,gomerry,"2026-08-07 17:52:23",87.705,1,shwsun73
303,16555187,"Zelin Huang","2026-08-09 07:24:14",87.705,11,blueshyy
304,16540860,"Patrick O’Neil","2026-08-08 19:38:34",87.705,5,patrickoneil
305,16479957,LeeVvin,"2026-08-08 14:25:10",87.705,5,leevvin
306,16494598,"Tsuyoshi Chiba","2026-08-08 10:52:28",87.700,3,tsuyoshichiba
307,16606323,kiyomiya-k,"2026-08-09 10:45:13",87.695,5,kiyomiyak
308,16677611,"Muhammad Faraz Aftab","2026-08-07 07:58:30",87.660,1,muhammadfarazaftab
309,16311927,Zhanpeng.W,"2026-08-09 01:32:47",87.660,15,zhanpengw
310,16432245,NKU,"2026-08-09 14:16:40",87.660,12,"mdarker,yueshaocong"
311,16654867,gchauhan,"2026-08-08 15:50:09",87.660,6,gchauhan
312,16623614,Asukaa,"2026-08-09 02:07:14",87.660,1,supercontainer
313,16551122,Vii,"2026-08-09 09:37:14",87.655,2,vipimsun
314,16557687,"Anh-Vu Mai-Nguyen","2026-08-10 00:18:03",87.615,3,mainguyenanhvu
315,16632739,Dean0016,"2026-08-09 15:05:34",87.615,15,dean0016
316,16607497,"Zihao Zeng","2026-08-09 03:16:52",87.615,15,zihaozeng0021
317,16531920,"This cat is called Fumi","2026-08-09 06:44:13",87.615,10,qwer556617123
318,16583945,"Team X Star","2026-08-08 07:39:28",87.595,2,wangchen0520
319,16617185,MS.YangGuang,"2026-08-09 10:54:26",87.570,4,"chenhaoran0419,chinazhangdavid,msyangguang"
320,16412344,mktetts,"2026-08-07 08:25:03",87.570,5,mktetts
321,16317805,.,"2026-08-09 03:05:52",87.570,15,russcore
322,16364865,"Raviksh Singh Dikola","2026-08-10 04:02:30",87.525,17,ravikshdikola
323,16305476,"Rajan Nagarajan","2026-08-07 13:44:39",87.525,2,narajan
324,16687102,"Alexander Krylov","2026-08-08 18:06:14",87.525,4,krylovalexander
325,16354966,souldrive,"2026-08-09 04:34:25",87.480,15,souldrive
326,16471998,codebeforework,"2026-08-09 04:06:16",87.480,5,codebeforework
327,16322095,Ni123456&,"2026-08-08 15:10:22",87.435,2,bingdongni
328,16554176,nmdcddwzml,"2026-08-09 04:09:14",87.435,1,mujian63
